Feature,Importance
V14,0.19076772434376355
V10,0.13322714946876127
V4,0.13050335815984623
V12,0.10783727574338782
V17,0.0819562226272554
V3,0.06331958253075677
V11,0.05384932401340068
V16,0.051015079086641255
V2,0.027013417686792385
V9,0.02139265653409717
V7,0.021307740915888346
V21,0.016493609776280647
V6,0.008746112946941921
V1,0.008249470861643007
V8,0.008039841051517718
Time,0.007876761695938178
V28,0.007527464989768804
V5,0.006606018685337943
V13,0.0062731043512991224
V18,0.005753843072685011
V20,0.00548113810493826
V27,0.005457459245656547
V19,0.004622424186128589
Amount,0.004596608795470447
V26,0.00433512889771735
V15,0.004118106766151003
V22,0.003529759789751794
V24,0.00340942157081679
V25,0.0033569315536598576
V23,0.0033372625477062785
